timestamp,frame,track_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0.03,1,1,car,1592,437,1861,737
0.03,1,2,truck,1553,237,1865,485
0.03,1,3,car,748,72,984,186
0.03,1,4,truck,188,826,405,1075
0.03,1,5,truck,809,186,1128,380
0.03,1,6,truck,1775,117,1919,278
0.07,2,1,car,1587,440,1862,746
0.07,2,3,car,750,81,981,193
0.07,2,6,truck,1771,121,1917,284
0.1,3,1,car,1585,450,1859,756
0.1,3,3,car,733,93,959,202
0.1,3,6,car,1771,131,1918,294
0.1,3,2,truck,1530,252,1880,532
0.13,4,1,car,1583,460,1859,770
0.13,4,3,car,722,105,939,210
0.13,4,2,truck,1544,265,1862,519
0.17,5,1,car,1580,471,1859,782
0.17,5,3,car,714,118,926,220
0.17,5,2,truck,1607,275,1875,492
0.2,6,1,car,1578,483,1856,794
0.2,6,3,car,700,128,910,229
0.2,6,2,car,1632,287,1877,486
0.2,6,6,car,1762,161,1914,329
0.23,7,1,car,1574,493,1852,804
0.23,7,3,car,686,141,898,242
0.23,7,2,car,1635,290,1880,493
0.23,7,6,truck,1762,170,1914,337
0.27,8,1,car,1572,501,1851,814
0.27,8,3,car,674,144,889,247
0.27,8,2,truck,1551,292,1877,563
0.27,8,6,truck,1762,178,1912,342
0.3,9,1,car,1566,502,1850,821
0.3,9,3,car,662,150,878,253
0.3,9,6,truck,1760,181,1912,346
0.33,10,1,car,1561,505,1847,828
0.33,10,3,car,646,154,862,256
0.33,10,6,truck,1758,185,1910,349
0.37,11,1,car,1559,509,1846,833
0.37,11,3,car,634,157,852,260
0.37,11,6,truck,1755,187,1909,353
0.37,11,2,truck,1507,300,1864,601
0.4,12,1,car,1556,511,1843,838
0.4,12,3,car,617,158,843,264
0.4,12,6,truck,1751,188,1908,354
0.43,13,1,car,1552,514,1839,843
0.43,13,3,car,602,160,831,268
0.43,13,6,truck,1747,188,1905,354
0.43,13,2,truck,1511,315,1844,596
0.47,14,1,car,1550,518,1837,847
0.47,14,3,car,589,163,816,270
0.47,14,6,bus,1745,190,1904,355
0.47,14,2,truck,1504,317,1848,611
0.5,15,1,car,1549,526,1833,852
0.5,15,3,car,573,165,802,272
0.5,15,6,truck,1738,187,1900,356
0.5,15,2,truck,1502,318,1845,614
0.53,16,1,car,1546,530,1828,855
0.53,16,3,car,561,168,788,274
0.53,16,6,truck,1734,189,1895,357
0.53,16,2,truck,1496,317,1840,617
0.57,17,1,car,1542,532,1824,858
0.57,17,3,car,545,169,775,276
0.57,17,6,truck,1731,192,1892,358
0.6,18,1,car,1535,531,1821,864
0.6,18,3,car,534,172,760,276
0.6,18,6,truck,1723,189,1889,359
0.6,18,37,truck,1827,112,1917,237
0.6,18,38,car,1620,320,1828,530
0.6,18,2,truck,1496,322,1838,623
0.63,19,1,car,1533,535,1819,870
0.63,19,3,car,518,175,746,279
0.63,19,6,truck,1719,191,1886,360
0.63,19,37,truck,1827,114,1916,237
0.63,19,38,car,1620,324,1828,533
0.67,20,1,car,1530,538,1817,875
0.67,20,3,car,503,176,733,281
0.67,20,6,car,1718,197,1882,362
0.67,20,37,truck,1825,115,1914,237
0.67,20,38,car,1617,325,1825,535
0.7,21,1,car,1527,540,1815,879
0.7,21,3,car,487,178,720,283
